City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
120,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
121,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
122,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
123,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
124,Asyut,27.181,31.1837,53.6,54,0,4.61,EG,clear sky
125,Hithadhoo,-0.6,73.0833,82.31,77,45,15.43,MV,scattered clouds
126,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
127,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
128,Narsaq,60.9167,-46.05,39.2,35,75,35.68,GL,broken clouds
129,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
130,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
131,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
132,Georgetown,5.4112,100.3354,80.01,78,20,3.44,MY,few clouds
133,Georgetown,5.4112,100.3354,80.01,78,20,3.44,MY,few clouds
134,Tazovskiy,67.4667,78.7,-27.62,82,100,12.91,RU,overcast clouds
135,Jumla,29.2747,82.1838,30.78,62,0,3.53,NP,clear sky
136,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
137,Monroe,43.1501,-77.6831,25.0,63,75,12.66,US,broken clouds
138,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
139,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
140,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
141,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
142,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
143,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
144,Vardo,70.3705,31.1107,24.96,96,100,21.32,NO,light snow
145,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
146,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
147,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
148,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
149,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
150,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
151,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
152,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
